"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","iucn_sensitive","protected_sensitive","redlistTW_sensitive","sensitive_check"
"a3d77668-4348-44f7-9443-abfb6a4eed7d","species","t0097909","Cyprinus carpio","Animalia","Actinopterygii","native","","","NLC","CR","輕度","2024-12-01","species","Cyprinus carpio","","","LC","NLC","","Cyprinus","carpio",NA,NA,NA,NA,NA
"ec4aa8bc-6ef6-484e-80e5-a45d74566395","species","t0028993","Eptatretus fernholmi","Animalia","Myxini","native","true","","","VU","輕度","","species","Eptatretus fernholmi","","native","DD","","","Eptatretus","fernholmi",NA,NA,NA,NA,NA
"1f7663d2-62ae-49d2-ad7d-758ff643c641","infraspecies","t0102387","Sinosuthora webbiana bulomacha","Animalia","Aves","native","true","","NEN","LC","輕度","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8d8634ef-b32f-4bb0-8bc4-83cbae1fd1e1","infraspecies","t0085974","Nisaetus nipalensis nipalensis","Animalia","Aves","native","","","","","輕度","","infraspecies","Nisaetus nipalensis nipalensis","","native","","","I","Nisaetus","nipalensis","nipalensis",NA,NA,NA,NA
"8da960a7-8e82-43ea-a6af-6589b4184c47","infraspecies","t0085142","Hydrobates leucorhous leucorhous","Animalia","Aves","native","","","","VU","輕度","","infraspecies","Hydrobates leucorhous leucorhous","","native","","","","Hydrobates","leucorhous","leucorhous",NA,NA,NA,NA
"bc6b5eb9-c90d-4739-9379-f73e4b95cd21","species","t0033511","Cyperus radians","Plantae","Spermatopsida","native","","","NLC","","輕度","2017-12-01","species","Cyperus radians","","native","","NLC","","Cyperus","radians",NA,NA,NA,NA,NA
"4713df2d-a731-4baa-bfd2-7560ec1b2118","species","t0058219","Schoenoplectiella lineolata","Plantae","Spermatopsida","native","","","NNT","","輕度","2017-12-01","species","Schoenoplectiella lineolata","","native","","NNT","","Schoenoplectiella","lineolata",NA,NA,NA,NA,NA
"e4ed96cf-133a-4854-9acd-76984fb37ac2","species","t0103289","Rhododendron kanehirae","Plantae","Spermatopsida","native","true","","EW","EW","輕度","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a8352266-244d-4050-af4c-0615cb4a886b","species","t0058756","Chaerophyllum taiwanianum","Plantae","Spermatopsida","native","true","","NVU","","輕度","2017-12-01","species","Chaerophyllum involucratum","true","native","","NLC","","Chaerophyllum","involucratum",NA,NA,NA,NA,NA
"49e408b8-ce53-403b-99b4-8ef9bd3d42ea","species","t0048233","Turbinaria mesenterina","Chromista","Phaeophyceae","native","","","","LC","輕度","","species","Turbinaria mesenterina","","native","LC","","","Turbinaria","mesenterina",NA,NA,NA,NA,NA
"4a5f428f-1210-477d-9ae7-a693b1309150","species","t0048236","Turbinaria reniformis","Chromista","Phaeophyceae","native","","","","LC","輕度","","species","Turbinaria reniformis","","native","LC","","","Turbinaria","reniformis",NA,NA,NA,NA,NA
"8a3c8b1e-1935-4849-b417-529f9652e77a","species","t0048237","Turbinaria stellulata","Chromista","Phaeophyceae","native","","","","LC","輕度","","species","Turbinaria stellulata","","native","LC","","","Turbinaria","stellulata",NA,NA,NA,NA,NA
"f1a9fbcd-2ea6-442e-b45d-04cdc6fea8f8","species","t0044484","Trichoglossum walteri","Fungi","Geoglossomycetes","native","","","","","輕度","","species","Trichoglossum walteri","","native","","","","Trichoglossum","walteri",NA,NA,NA,NA,NA
"7dd86973-a29f-4c16-849d-c49c6d27dd09","infraspecies","t0087494","Tricholoma matsutake formosana","Fungi","Basidiomycetes","native","","","","VU","輕度","","infraspecies","Tricholoma matsutake formosana","","native","","","","Tricholoma","matsutake","formosana",NA,NA,NA,NA
